column,missing_fraction
omni_mean_SYM_H,1.0
omni_mean_Np,1.0
omni_mean_Bz_gsm,1.0
omni_mean_By_gsm,1.0
omni_mean_Bmag,1.0
omni_mean_T,1.0
omni_mean_Pdyn,1.0
omni_mean_Efield,1.0
analysis_note,1.0
omni_mean_V,1.0
analysis_type,1.0
omni_mean_beta,1.0
omni_mean_MachA,1.0
omni_mean_AE,1.0
activeRegionNum,0.787436084733382
analysis_longitude,0.13245678110542974
analysis_latitude,0.01168736303871439
analysis_isMostAccurate,0.009982955928901876
analysis_speed,0.009982955928901876
analysis_halfAngle,0.009982955928901876
kp_max_h72,0.00024348672997321646
activityID,0.0
label_storm,0.0
startTime,0.0
start_hour,0.0
link,0.0
note,0.0
sourceLocation,0.0
start_dow,0.0
