activityID,startTime,sourceLocation,activeRegionNum,note,link,analysis_speed,analysis_type,analysis_latitude,analysis_longitude,analysis_halfAngle,analysis_isMostAccurate,analysis_note,kp_max_h72,label_storm,log_speed,is_fast_cme,abs_latitude,start_hour,start_dow,omni_w24_72_mean_Bmag,omni_w24_72_min_Bmag,omni_w24_72_max_Bmag,omni_w24_72_std_Bmag,omni_w24_72_mean_By_gsm,omni_w24_72_min_By_gsm,omni_w24_72_max_By_gsm,omni_w24_72_std_By_gsm,omni_w24_72_mean_Bz_gsm,omni_w24_72_min_Bz_gsm,omni_w24_72_max_Bz_gsm,omni_w24_72_std_Bz_gsm,omni_w24_72_mean_V,omni_w24_72_min_V,omni_w24_72_max_V,omni_w24_72_std_V,omni_w24_72_mean_Np,omni_w24_72_min_Np,omni_w24_72_max_Np,omni_w24_72_std_Np,omni_w24_72_mean_T,omni_w24_72_min_T,omni_w24_72_max_T,omni_w24_72_std_T,omni_w24_72_mean_Pdyn,omni_w24_72_min_Pdyn,omni_w24_72_max_Pdyn,omni_w24_72_std_Pdyn,omni_w24_72_mean_Efield,omni_w24_72_min_Efield,omni_w24_72_max_Efield,omni_w24_72_std_Efield,omni_w24_72_mean_beta,omni_w24_72_min_beta,omni_w24_72_max_beta,omni_w24_72_std_beta,omni_w24_72_mean_MachA,omni_w24_72_min_MachA,omni_w24_72_max_MachA,omni_w24_72_std_MachA,omni_w24_72_mean_AE,omni_w24_72_min_AE,omni_w24_72_max_AE,omni_w24_72_std_AE,omni_w24_72_mean_SYM_H,omni_w24_72_min_SYM_H,omni_w24_72_max_SYM_H,omni_w24_72_std_SYM_H
2015-01-01T08:24:00-CME-001,2015-01-01 08:24:00+00:00,,,"Eruption visible in SDO 193, starting ~ 2014-12-31T17.00Z, extended area of post-eruption loops slowly appear NW of disk center around N30W20, eruption seems very slow, a complex, curved filament channel is involved.",https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7509/-1,350.0,S,31.0,26.0,32.0,1.0,,4.667,0,5.860786223465865,0,31.0,8,3,8.443545454545454,3.89,13.39,1.5733190084910749,-1.699909090909091,-11.09,10.61,4.913464375932089,-0.3694363636363635,-9.19,9.26,4.01484606866083,432.22444029850743,373.6,496.6,29.875009830513886,10.499347014925373,1.76,46.6,7.08124755423483,91116.11380597015,12493.0,297358.0,61779.80177358085,3.7099253731343285,0.71,13.24,2.0604401052364154,0.11886194029850745,-4.15,4.58,1.706285682904767,1.4499440298507464,0.19,10.98,1.1691117133789568,76.95208333333332,3.4,999.9,252.14413997166105,195.53645833333334,19.0,852.0,197.3197368027361,-22.828125,-55.0,7.0,12.440551996771486
2015-01-02T14:36:00-CME-001,2015-01-02 14:36:00+00:00,S07W40,,Associated with a very gradual eruption in a small AR NE from 2248 starting after the break of day. The source location is ~W40S7. The area of darkening is rather limited.,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7515/-1,353.0,S,3.0,34.0,23.0,1.0,,5.333,1,5.869296913133774,0,3.0,14,4,8.593825136612022,5.17,12.87,1.4546280436520809,0.3173588342440802,-8.9,11.83,4.94458815682731,-1.4995810564663021,-9.82,9.76,4.382302129661287,440.0422857142857,364.9,536.1,39.60525076437269,6.791314285714286,1.76,14.29,2.718573853413327,126390.19619047618,12493.0,516534.0,115477.49305744383,2.542209523809524,0.71,5.11,0.82604858262797,0.59,-4.85,3.9,1.8969488357613085,0.9789122137404581,0.19,10.34,0.6426110857748629,96.30486111111111,3.4,999.9,284.65285810816545,298.6197916666667,19.0,1175.0,279.11012404497444,-40.32465277777778,-78.0,-12.0,18.24744511847231
2015-01-03T03:24:00-CME-001,2015-01-03 03:24:00+00:00,,,,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7524/-1,210.0,S,-49.0,-82.0,42.0,1.0,,5.333,1,5.351858133476067,0,49.0,3,5,8.37464347826087,5.17,12.87,1.4751045368486195,0.37906086956521745,-8.9,11.83,4.81346677794517,-2.0056347826086953,-9.82,9.76,4.247194499759831,452.5757299270073,364.9,551.5,49.18960350973881,6.509124087591241,2.08,14.29,2.8813099526077424,151063.59124087592,12493.0,516534.0,108761.55816605805,2.5214598540145987,0.86,5.11,0.8283078257675198,0.8240950639853749,-4.85,3.9,1.892817380599895,1.0271480804387567,0.32,10.34,0.5930258155644924,56.74392361111111,4.0,999.9,217.16881857598392,344.31944444444446,30.0,1175.0,257.73290176011943,-44.55555555555556,-78.0,-18.0,14.520951232318014
2015-01-06T18:24:00-CME-001,2015-01-06 18:24:00+00:00,,,No source region could be found in SDO.,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7532/-1,532.0,C,9.0,39.0,12.0,1.0,,6.333,1,6.278521424165844,0,9.0,18,1,7.421132743362833,3.54,18.25,3.1064383825946194,2.8035398230088497,-8.9,11.15,3.374149180295976,1.01670796460177,-6.83,16.58,4.155592601599384,468.48545454545456,411.0,521.0,19.66597170177987,6.146963636363636,1.84,27.02,4.680674821059018,136676.47454545455,20300.0,294231.0,50430.206500706474,2.658418181818182,0.72,11.34,1.936566372741471,-0.46792349726775956,-7.37,3.24,1.9158043832679759,1.3567395264116573,0.19,12.19,1.1859095820885306,54.31440972222222,3.9,999.9,209.71503876291783,154.30381944444446,29.0,522.0,92.34980140068076,-41.951388888888886,-67.0,-24.0,9.659357769304961
2015-01-07T16:24:00-CME-001,2015-01-07 16:24:00+00:00,,,"SDO 193 shows indication of an eruption off the NE limb with its source behind the limb, starting ~20:00, EUVI A images support this (signature of an eruption between 14:48 and 19:50 at the NW close to the limb).",https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7545/-1,579.0,C,67.0,-102.0,20.0,1.0,,4.0,0,6.363028103540465,0,67.0,16,2,5.686899641577061,3.54,8.19,1.0150822630116612,2.591917562724014,-5.35,7.16,2.0383132425916592,-0.2651971326164874,-6.91,6.22,2.352383649005084,447.6439163498099,381.1,521.0,35.27642540316326,3.7779657794676806,1.84,7.15,1.119011244862774,116104.57984790874,25811.0,280907.0,47469.29607527805,1.512300380228137,0.72,3.0,0.46307805626867493,0.15822179732313577,-3.15,3.27,1.0500929998616926,1.1981644359464625,0.56,3.08,0.3548404371927321,98.93784722222222,5.3,999.9,286.81132310395856,148.25,24.0,642.0,101.36761001972529,-31.62152777777778,-53.0,-18.0,6.319267969147618
2015-01-09T00:00:00-CME-001,2015-01-09 00:00:00+00:00,,,"There was this faintest CME in the SW, seen most clearly in STEREO A and very faint in C2 right after the break of day(midnight). Source location has not been determined with confidence. It could be activity (darkening) near AR2257 around 23:00 on the previous day (Karin also noticed post-eruption loops in the area). Calculation was made on this assumption using SWPC CAT, however the images don't fit so well and are faint.

SWPC thinks it is a backsided CME, but no sign of source can be found in EUVI A imagery. 

~Anna",https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7548/-1,265.0,S,-10.0,2.0,13.0,1.0,,3.333,0,5.583496308781699,0,10.0,0,4,7.538724202626641,4.23,9.55,1.1352295867984428,4.007110694183865,-2.46,8.29,2.1144828695825497,-0.09727954971857415,-7.31,7.09,2.785101261071545,453.87455268389664,381.1,641.8,43.32402338811005,3.334254473161034,1.21,7.15,1.4951563250167008,128445.53187250996,25811.0,446956.0,69782.91156028572,1.3287077534791252,0.54,3.0,0.5284285191776097,0.08663346613545818,-3.39,3.93,1.3204191735732174,0.6547305389221556,0.17,1.74,0.3617105309899767,134.68058925476606,3.4,999.9,334.43262940293096,168.88734835355285,22.0,708.0,129.6177668088683,-27.220103986135182,-40.0,-14.0,5.732791564555244
2015-01-10T05:06:00-CME-001,2015-01-10 05:06:00+00:00,,,The source region of this CME was difficult to find. The eruption is believed to be associated with AR 2255.,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7553/-1,510.0,C,-19.0,31.0,16.0,1.0,,3.333,0,6.236369590203704,0,19.0,5,5,7.0317469879518075,4.98,8.76,0.818062875158023,3.26781124497992,-5.2,8.1,2.6224388975914117,-0.4537550200803212,-7.31,4.98,2.1568696071468563,449.9271551724138,394.8,641.8,40.06070925969377,3.5880387931034488,1.21,6.58,1.5186428515500479,136811.63636363635,53765.0,446956.0,61329.225443607145,1.4014870689655172,0.54,2.59,0.517979899761493,0.26679653679653675,-3.0,3.93,1.0446448254869105,0.8900434782608696,0.17,2.33,0.516680035398317,202.721875,3.4,999.9,395.9954561072582,152.63888888888889,23.0,698.0,127.67911498879128,-27.1875,-40.0,-15.0,5.884559303333126
2015-01-10T08:52:00-CME-001,2015-01-10 08:52:00+00:00,,,Not modeled because of extremely narrow half-angle.,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7556/-1,260.0,S,7.0,-90.0,15.0,1.0,,3.333,0,5.564520407322694,0,7.0,8,5,6.9266733067729085,4.98,8.28,0.7598916682362048,3.1219920318725105,-5.2,7.73,2.556339751331833,-0.15581673306772914,-6.34,6.57,2.0559190687887616,440.784076433121,394.8,536.0,28.754761834885617,3.7980679405520172,1.21,6.58,1.4966024805433038,124021.22388059701,53765.0,365256.0,40375.88731376915,1.4369639065817408,0.54,2.59,0.5199317250344175,0.10611940298507462,-3.0,2.92,0.931040568457642,0.9311563169164883,0.17,2.33,0.5092038871526414,190.76979166666666,3.4,999.9,386.4803390733277,135.06597222222223,23.0,698.0,118.47038346682687,-26.244791666666668,-38.0,-14.0,6.24061578478149
2015-01-10T13:42:00-CME-001,2015-01-10 13:42:00+00:00,,,Source location is not clear. It is coming off of the east limb with high latitude.,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7561/-1,,,,,,,,3.333,0,,0,,13,5,6.789327902240326,3.24,8.28,0.7685046158733294,2.9576171079429736,-5.2,7.73,2.6367671034186273,-0.3827087576374746,-6.34,6.57,2.2096374251482453,434.43480176211455,394.8,536.0,22.582351015419302,4.174052863436124,1.35,6.58,1.3420488173097362,118352.07300884956,53765.0,257046.0,31891.457577010537,1.5570044052863439,0.64,2.59,0.48840459051226875,0.2229646017699115,-3.0,3.02,0.9808205290731786,1.0378444444444443,0.17,7.41,0.575475859347165,220.40590277777778,3.5,999.9,408.27937207211636,127.16145833333333,18.0,698.0,117.63679968249703,-24.739583333333332,-37.0,-13.0,6.22201198646565
2015-01-11T00:00:00-CME-001,2015-01-11 00:00:00+00:00,,,Bright but slow NE CME.  No clear source location found but believed to be a near limb event.  High northern latitude so it is not expected to be significant.,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7559/-1,200.0,S,59.0,-100.0,30.0,1.0,,3.0,0,5.303304908059076,0,59.0,0,6,6.358316633266534,3.24,7.62,0.5606995093840682,2.4511222444889778,-5.2,7.01,2.59436068382979,-0.46951903807615236,-6.32,6.57,2.402997078453569,427.34434180138567,393.5,479.7,18.43524016643196,4.908244803695151,3.18,6.58,0.6724459267233038,120445.49768518518,60572.0,257046.0,30269.29897449563,1.7978060046189375,1.18,2.59,0.30662438262371083,0.3927146171693735,-2.92,3.02,0.9263283857171875,1.2813023255813953,0.6,7.41,0.43726068723273404,258.5922010398614,5.2,999.9,431.4570197851058,137.51473136915078,18.0,698.0,123.02243757517665,-23.746967071057192,-37.0,-13.0,5.696704205790787
