feature,mean_abs_shap,rank
omni_w24_72_max_AE,1.391584,1
omni_w24_72_min_SYM_H,1.3771745,2
omni_w24_72_mean_SYM_H,0.6565061,3
omni_w24_72_max_Bmag,0.47617903,4
feat_cme_energy,0.3986697,5
feat_coupling,0.33309153,6
omni_w24_72_min_Bz_gsm,0.31198266,7
omni_w24_72_max_SYM_H,0.3057604,8
omni_w24_72_min_T,0.2971197,9
omni_w24_72_mean_By_gsm,0.28674394,10
omni_w24_72_max_T,0.2728914,11
omni_w24_72_std_AE,0.25923696,12
omni_w24_72_std_Pdyn,0.23954634,13
omni_w24_72_mean_Bz_gsm,0.23617145,14
omni_w24_72_std_By_gsm,0.22600403,15
omni_w24_72_max_By_gsm,0.21403378,16
feat_bz_variability_ratio,0.20641506,17
omni_w24_72_mean_AE,0.19549869,18
omni_w24_72_std_Np,0.18972863,19
omni_w24_72_mean_Bmag,0.1843502,20
feat_bz_south_depth,0.1767235,21
omni_w24_72_min_Bmag,0.16744798,22
omni_w24_72_mean_beta,0.16657697,23
omni_w24_72_max_Pdyn,0.16371843,24
omni_w24_72_min_V,0.16271596,25
start_dow,0.1604766,26
omni_w24_72_std_V,0.15877262,27
omni_w24_72_min_AE,0.15800683,28
omni_w24_72_min_Pdyn,0.14640291,29
omni_w24_72_min_MachA,0.14516586,30
omni_w24_72_min_Np,0.13208506,31
omni_w24_72_max_Np,0.117820114,32
omni_w24_72_std_SYM_H,0.11096254,33
omni_w24_72_min_beta,0.10756597,34
omni_w24_72_mean_T,0.10713903,35
omni_w24_72_std_Bz_gsm,0.104003474,36
omni_w24_72_max_Bz_gsm,0.087484844,37
analysis_speed,0.082496695,38
analysis_halfAngle,0.080725715,39
omni_w24_72_min_By_gsm,0.079827875,40
analysis_longitude,0.0760122,41
omni_w24_72_std_T,0.07579397,42
omni_w24_72_mean_Np,0.07121402,43
omni_w24_72_std_MachA,0.06603879,44
analysis_latitude,0.061066158,45
omni_w24_72_std_beta,0.05883471,46
omni_w24_72_max_V,0.05588164,47
omni_w24_72_mean_MachA,0.05551801,48
omni_w24_72_max_beta,0.04509447,49
feat_sw_ram_proxy,0.044733025,50
start_hour,0.0441525,51
omni_w24_72_mean_V,0.040290356,52
omni_w24_72_mean_Pdyn,0.031176409,53
abs_latitude,0.031129373,54
omni_w24_72_std_Bmag,0.027192187,55
log_speed,0.019130247,56
has_active_region,0.016726084,57
omni_w24_72_max_MachA,0.0,58
is_fast_cme,0.0,59
cme_type_O,0.0,60
cme_type_S,0.0,61
